"PRODUCT_NUMBER","PRODUCT_LANGUAGE","PRODUCT_NAME","PRODUCT_DESCRIPTION"
1110,"EN","TrailChef Water Bag","Lightweight, collapsible bag to carry liquids easily.  Wide mouth for easy filling.  Holds 10 liters."
2110,"EN","TrailChef Canteen","Aluminum canteen. Rugged fleece-lined cover with belt clips, removable shoulder sling and small pocket for water purification tablets bottle. Holds 2 liters"
3110,"EN","TrailChef Kitchen Kit","Zippered nylon pouch contains cutlery for two, can opener, wire whisk, scrubber sponge, 2  60 ml squirt bottles, pancake turner and salt and pepper shaker.  Measures 10 x 22 x 5 cm."
4110,"EN","TrailChef Cup","Tin cup. Holds 0.4 liters. Weight: 60 g"
5110,"EN","TrailChef Cook Set","All you will ever need on the trail.  Pot gripper and nylon carrying bag included.  1.5 and 2 liter pots with individual lids. Weight: 750 g."
6110,"EN","TrailChef Deluxe Cook Set","Cascade set features 1, 2, and 3 liter pots with individual lids that double as fry pans or plates. Pot gripper and nylon carrying bag included.  Weight: 1.4 kg."
7110,"EN","TrailChef Single Flame","A single burner stove with integral tank.  It features precise flame control so you will never have to settle for burnt camp food again.  Weight 624 g, fuel is white gas."
8110,"EN","TrailChef Double Flame","The TrailChef Double Flame is a camp stove which attaches directly to fuel canisters. Features precise flame control and a built-in windscreen.  Weight is 850 g, fuel is propane."
9110,"EN","TrailChef Kettle","This old-fashioned style kettle is made of durable enamel.  Weight: 350g, Holds 1.5 liters."
10110,"EN","TrailChef Utensils","Spoon, fork and knife set made of a light yet strong metal alloy.  Carrying pouch included."
11110,"EN","Star Lite","A perfect tent for biking and hiking trips, compact and very light.  Features three shock cord aluminum poles, and three large mesh windows.  Packed size: 15 x 40 cm. Weight: 0.5 kg."
12110,"EN","Star Dome","Four pole geodesic dome mountain tent that comfortably fits two to three people. 10 mm aluminum poles, mesh pole sleeves and taped seams.  Packed size: 22 x 63 cm. Weight: 4.8 kg."
13110,"EN","Star Gazer 2","The Star Gazer 2 is the Great Outdoor's most versatile tent.  It is a large two-person tent that is both durable and light weight.  Packed size: 18 x 70 cm. Weight: 2.6 kg."
14110,"EN","Star Gazer 3","The Star Gazer 3 features a water proof fly, mesh window and two doors for good ventilation.  Packed size: 20 x 70 cm. Weight: 5.3 kg."
15110,"EN","Star Gazer 6","Massive cabin tent has ample room for six people. Mesh door and vent, T-style door.  Four side windows with storm flaps and three carry bags for tent and poles."
16110,"EN","Star Peg","A single tent peg made of heavy-duty plated steel. Long enough even for hard, rocky ground. Length: 25 cm"
17110,"EN","Hibernator Lite","The Hibernator Lite is the perfect summer sleeping bag.  Light weight and comfortable down to 10°C.  The rectangular shape allows for easy pairing.  Weight with stuff sack: 1.0 kg."
18110,"EN","Hibernator","The Hibernator is a three-season sleeping bag. The rectangular shape allows for easy pairing. Nylon shell material.  8 cm loft.  Comfortable down to 0°C.  One size fits up to 195 cm."
19110,"EN","Hibernator Extreme","The Hibernator Extreme has all the features you need for four-season comfort.  Comfortable from -18° to 9°C. Silk comfort lining, nylon shell. Fits users to 195 cm, stuff sack included."
20110,"EN","Hibernator Self - Inflating Mat","Mattress is made of extra-thick foam. Mesh stuff sack included for easy carrying and storage. Repair kit included."
21110,"EN","Hibernator Pad","Warms up quickly for snow camping comfort. The Hibernator Pad will resist cracking in temperatures as low as -30°C."
22110,"EN","Hibernator Pillow","Camp pillow is filled with soft, luxurious fibers for maximum compactness and resiliency. Covered with soft cotton on one side and soft flannel on the other."
23110,"EN","Hibernator Camp Cot","Aluminum frame camp cot that is lightweight and durable.  Size: 100 x 225 x 50 cm.  Weight: 7 kg."
24110,"EN","Canyon Mule Climber Backpack","This pack is perfect for day trips and short hikes. Also great for students.  Separate front compartment, multi-layered interior organizer, 2 cm waist belt, 32,000 cu. cm."
25110,"EN","Canyon Mule Weekender Backpack","A weekend getaway requires this pack.  It features a large front compression pocket, harness and waist belt, foam molded back panel, vinyl covered gear loops.  50,000 cu. cm."
26110,"EN","Canyon Mule Journey Backpack","Set of three packs: handlebar pack, front pack and rear pack.  Designed to fit most mountain bikes.  Includes mounting hardware.  Total volume: 66,000 cu. cm."
27110,"EN","Canyon Mule Extreme Backpack","Perfect for long back country trips, this pack features an expandable front pocket, includes a large sleeping bag compartment, padded shoulder harness, back and waist belt. 90,000 cu. cm."
28110,"EN","Canyon Mule Cooler","A durable plastic cooler with hinged top, perfect for storing small items. Size:100 x 50 x 50 cm."
